"Story","Title","Result","Date","Stability","Duration (s)"
"Sign In Recruitment Nashta Group","SG 001 - Sign In Valid Data","SUCCESS","2024-01-25T15:26:04.399544+07:00[Asia/Jakarta]","0.0","1.61"
"Sign In Recruitment Nashta Group","SG 002 - Sign In for user without email","SUCCESS","2024-01-25T15:26:06.015967+07:00[Asia/Jakarta]","0.0","0.21"
